dataTime,sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm10Value24,pm25Value,pm25Value24,khaiValue,khaiGrade,so2Grade,coGrade,o3Grade,no2Grade,pm10Grade,pm25Grade,pm10Grade1h,pm25Grade1h,so2Flag,coFlag,o3Flag,no2Flag,pm10Flag,pm25Flag
2021-09-24 08:00,서울,공항대로,도로변대기,0.003,0.6,0.003,0.033,33,25,17,12,54,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,보통,,,,,,
2021-09-24 08:00,서울,구로구,도시대기,0.003,0.5,0.011,0.024,25,21,7,8,40,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,영등포구,도시대기,0.003,0.5,0.007,0.028,20,20,12,13,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,영등포로,도로변대기,0.004,0.5,0.005,0.033,22,22,10,11,54,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,동작구,도시대기,0.002,0.4,0.007,0.026,21,22,9,10,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,동작대로 중앙차로,도로변대기,0.003,0.5,0.003,0.035,24,23,13,10,58,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,서울,관악구,도시대기,0.003,0.5,0.009,0.030,19,19,7,9,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,광복동,도시대기,0.003,0.3,0.035,0.010,11,14,8,,,,좋음,좋음,보통,좋음,좋음,,좋음,좋음,,,,,,
2021-09-24 08:00,부산,초량동,도로변대기,0.002,0.4,0.022,0.026,20,19,10,9,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,태종대,도시대기,0.002,0.3,0.012,0.031,8,16,6,7,51,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,청학동,도시대기,0.003,0.3,0.015,0.030,19,17,10,10,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,전포동,도시대기,0.003,0.2,0.028,0.014,13,15,7,10,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,온천동,도로변대기,0.003,0.5,0.005,0.033,14,17,9,10,54,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,명장동,도시대기,,,0.022,0.019,16,18,12,13,43,좋음,,,좋음,좋음,좋음,좋음,좋음,좋음,통신장애,통신장애,,,,
2021-09-24 08:00,부산,대연동,도시대기,0.003,0.4,0.035,0.013,17,16,7,9,54,보통,좋음,좋음,보통,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,학장동,도시대기,0.002,0.3,0.007,0.025,24,19,13,13,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,덕천동,도시대기,0.002,0.4,0.008,0.030,27,23,12,13,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,화명동,도시대기,,,0.009,0.031,20,16,8,9,51,보통,,,좋음,보통,좋음,좋음,좋음,좋음,통신장애,통신장애,,,,
2021-09-24 08:00,부산,청룡동,도시대기,,,0.007,0.032,15,15,8,9,53,보통,,,좋음,보통,좋음,좋음,좋음,좋음,통신장애,통신장애,,,,
2021-09-24 08:00,부산,좌동,도시대기,0.004,0.3,0.026,0.014,20,19,4,9,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,재송동,도시대기,0.004,0.3,0.020,0.017,21,18,12,12,40,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,장림동,도시대기,0.001,0.4,0.005,0.028,25,22,18,17,54,보통,좋음,좋음,좋음,좋음,좋음,보통,좋음,보통,,,,,,
2021-09-24 08:00,부산,대저동,도시대기,0.002,0.3,0.008,0.026,21,20,14,12,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,녹산동,도시대기,0.006,0.3,0.009,0.038,22,20,19,15,63,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,보통,,,,,,
2021-09-24 08:00,부산,명지동,도시대기,0.002,0.3,0.017,0.020,24,21,11,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,연산동,도시대기,0.002,0.3,0.020,0.022,16,16,9,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,기장읍,도시대기,0.004,0.3,0.013,0.017,19,16,10,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,용수리,도시대기,0.007,0.3,0.017,0.014,21,15,12,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,수정동,도시대기,0.003,0.1,0.039,0.008,11,16,4,8,58,보통,좋음,좋음,보통,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,부곡동,도시대기,0.002,0.3,0.011,0.030,20,15,8,8,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,회동동,도시대기,0.002,0.4,0.013,0.019,11,12,8,9,32,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,광안동,도시대기,,,0.026,0.014,23,20,7,8,43,좋음,,,좋음,좋음,좋음,좋음,좋음,좋음,통신장애,통신장애,,,,
2021-09-24 08:00,부산,대신동,도시대기,0.009,0.4,0.039,0.012,13,16,10,10,58,보통,좋음,좋음,보통,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,덕포동,도시대기,0.002,0.4,0.011,0.027,23,18,13,12,45,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,개금동,도시대기,0.003,0.5,0.004,0.046,22,20,11,13,76,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,당리동,도시대기,0.002,0.5,0.007,0.040,25,20,14,14,66,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,부산북항,도로변대기,0.002,0.3,0.017,0.030,24,21,11,11,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,부산신항,도로변대기,0.003,0.4,0.010,0.039,27,31,11,15,65,보통,좋음,좋음,좋음,보통,보통,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,부산,부산항,항만,0.002,0.3,0.007,0.046,30,30,23,22,76,보통,좋음,좋음,좋음,보통,좋음,보통,좋음,보통,,,,,,
2021-09-24 08:00,대구,수창동,도시대기,0.001,0.3,0.008,0.021,28,24,17,15,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-09-24 08:00,대구,지산동,도시대기,0.002,0.5,0.009,0.013,18,15,13,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대구,서호동,도시대기,0.001,0.4,0.008,0.014,27,24,20,16,51,보통,좋음,좋음,좋음,좋음,좋음,보통,좋음,보통,,,,,,
2021-09-24 08:00,대구,이현동,도시대기,0.002,0.4,0.002,0.022,36,28,19,14,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,보통,,,,,,
2021-09-24 08:00,대구,평리동,도로변대기,0.002,0.6,0.002,0.025,42,31,27,22,66,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-09-24 08:00,대구,대명동,도시대기,0.001,0.4,0.013,0.014,18,18,11,12,40,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대구,신암동,도시대기,0.002,0.5,0.004,0.023,23,20,17,14,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-09-24 08:00,대구,태전동,도시대기,0.002,0.4,0.004,0.018,24,19,10,9,32,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대구,산격동,도시대기,0.002,0.4,0.006,0.022,25,22,19,15,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-09-24 08:00,대구,만촌동,도시대기,0.002,0.5,0.011,0.019,27,21,17,16,51,보통,좋음,좋음,좋음,좋음,좋음,보통,좋음,보통,,,,,,
2021-09-24 08:00,대구,호림동,도시대기,0.001,0.3,0.006,0.018,28,25,17,15,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-09-24 08:00,대구,유가읍,도시대기,0.002,0.3,0.004,0.018,24,21,15,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대구,이곡동,도로변대기,0.002,0.4,0.002,0.029,34,29,26,22,66,보통,좋음,좋음,좋음,좋음,좋음,보통,보통,보통,,,,,,
2021-09-24 08:00,대구,시지동,도시대기,0.002,0.4,0.002,0.021,26,19,12,10,35,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,대구,진천동,도시대기,0.001,0.3,0.003,0.021,28,22,18,14,47,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-09-24 08:00,대구,다사읍,도시대기,,0.3,0.006,0.010,25,20,21,,,,,좋음,좋음,좋음,좋음,,좋음,보통,자료이상,,,,,
2021-09-24 08:00,대구,본동,도시대기,0.001,0.2,0.004,0.020,36,28,25,19,59,보통,좋음,좋음,좋음,좋음,좋음,보통,보통,보통,,,,,,
2021-09-24 08:00,대구,내당동,도시대기,0.001,0.2,0.003,0.019,40,32,27,23,69,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-09-24 08:00,대구,침산동,도시대기,0.002,0.2,0.002,0.024,31,23,15,13,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,좋음,,,,,,
2021-09-24 08:00,대구,화원읍,도시대기,0.001,0.1,0.007,0.008,12,13,,,,,좋음,좋음,좋음,좋음,좋음,,좋음,,,,,,,자료이상
2021-09-24 08:00,인천,원당,도시대기,0.003,0.5,0.005,0.025,29,21,11,10,42,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,길상,도시대기,0.002,0.5,0.014,0.013,26,17,15,9,30,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,삼산,도시대기,0.003,0.6,0.002,0.035,34,27,12,11,58,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,,,,,,
2021-09-24 08:00,인천,경인항,항만,0.003,0.5,0.005,0.027,44,33,15,15,53,보통,좋음,좋음,좋음,좋음,보통,좋음,보통,좋음,,,,,,
2021-09-24 08:00,인천,인천항,항만,0.005,0.5,0.006,0.042,48,36,16,15,70,보통,좋음,좋음,좋음,보통,보통,좋음,보통,보통,,,,,,
2021-09-24 08:00,인천,석모리,교외대기,0.001,0.6,0.025,0.002,21,16,10,8,42,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,덕적도,교외대기,0.002,0.5,0.022,0.012,25,21,17,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-09-24 08:00,인천,백령도,국가배경농도,0.001,0.2,0.022,0.001,28,22,12,11,37,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,영흥,도시대기,0.004,0.3,0.024,0.011,26,21,20,13,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-09-24 08:00,인천,아암,도시대기,0.002,0.5,0.006,0.033,31,25,12,12,54,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,,,,,,
2021-09-24 08:00,인천,연평도,국가배경농도,0.002,0.3,0.031,0.003,18,13,6,6,51,보통,좋음,좋음,보통,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,울도,국가배경농도,0.002,0.4,0.028,0.009,23,20,,,,,좋음,좋음,좋음,좋음,좋음,,좋음,,,,,,,자료이상
2021-09-24 08:00,인천,신흥,도시대기,0.004,0.6,0.007,0.031,36,31,14,13,51,보통,좋음,좋음,좋음,보통,보통,좋음,보통,좋음,,,,,,
2021-09-24 08:00,인천,서해,도로변대기,0.003,0.8,0.003,0.037,61,35,22,15,61,보통,좋음,좋음,좋음,보통,보통,좋음,보통,보통,,,,,,
2021-09-24 08:00,인천,영종,도시대기,0.005,0.5,0.012,0.021,25,20,9,8,35,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,송림,도시대기,0.003,0.7,0.006,0.033,40,31,14,13,54,보통,좋음,좋음,좋음,보통,보통,좋음,보통,좋음,,,,,,
2021-09-24 08:00,인천,구월동,도시대기,0.002,0.8,0.003,0.029,20,16,9,9,48,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,숭의,도시대기,0.003,0.6,0.005,0.030,21,21,13,11,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,석바위,도로변대기,0.003,0.7,0.006,0.038,22,20,12,9,63,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
,인천,부평역,도로변대기,,,,,,,,,,,,,,,,,,,통신장애,통신장애,통신장애,통신장애,통신장애,통신장애
2021-09-24 08:00,인천,남동,도로변대기,0.003,0.8,0.002,0.024,30,23,20,13,43,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,
2021-09-24 08:00,인천,주안,도시대기,0.002,0.5,0.007,0.029,16,19,12,11,48,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,부평,도시대기,0.004,0.6,0.004,0.042,35,24,14,12,70,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,,,,,,
2021-09-24 08:00,인천,연희,도시대기,0.003,0.5,0.009,0.023,19,19,12,11,38,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,검단,도시대기,0.003,0.5,0.010,0.015,23,19,10,10,33,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,중봉,도로변대기,0.003,0.6,0.005,0.042,36,29,15,11,70,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,,,,,,
2021-09-24 08:00,인천,계산,도시대기,0.002,0.7,0.010,0.019,23,17,14,10,33,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,고잔,도시대기,0.004,0.6,0.009,0.032,28,23,19,16,53,보통,좋음,좋음,좋음,보통,좋음,보통,좋음,보통,,,,,,
2021-09-24 08:00,인천,서창,도시대기,0.003,0.6,0.003,0.027,20,17,9,8,45,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,석남,도시대기,0.003,0.6,0.005,0.033,25,20,13,11,54,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,송해,도시대기,0.002,0.5,0.007,0.017,30,20,8,10,33,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,동춘,도시대기,0.003,0.6,0.004,0.033,30,25,15,13,54,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,운서,도시대기,0.003,0.5,0.018,0.012,25,21,14,10,35,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,송현,도로변대기,0.005,0.6,0.003,0.048,36,27,16,13,80,보통,좋음,좋음,좋음,보통,좋음,좋음,보통,보통,,,,,,
2021-09-24 08:00,인천,논현,도시대기,0.003,0.6,0.003,0.031,21,16,10,10,51,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,인천,청라,도시대기,0.005,0.6,0.004,0.029,34,25,13,10,48,좋음,좋음,좋음,좋음,좋음,좋음,좋음,보통,좋음,,,,,,
2021-09-24 08:00,인천,송도,도시대기,0.003,0.5,0.009,0.033,22,21,8,9,54,보통,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,광주,농성동,도시대기,,0.4,0.010,0.023,10,10,9,,,,,좋음,좋음,좋음,좋음,,좋음,좋음,자료이상,,,,,
2021-09-24 08:00,광주,치평동,도로변대기,0.004,0.4,0.007,0.022,13,16,13,12,40,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,광주,노대동,도시대기,,0.6,0.012,0.011,17,11,7,7,23,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,좋음,자료이상,,,,,
2021-09-24 08:00,광주,유촌동,도시대기,,0.6,0.012,0.020,20,17,10,10,33,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,좋음,자료이상,,,,,
2021-09-24 08:00,광주,두암동,도시대기,,0.6,0.008,0.028,13,12,5,6,47,좋음,,좋음,좋음,좋음,좋음,좋음,좋음,좋음,자료이상,,,,,
2021-09-24 08:00,광주,운암동,도로변대기,0.003,0.5,0.008,0.030,20,15,8,7,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-09-24 08:00,광주,건국동,도시대기,0.003,0.3,0.012,0.010,15,11,7,8,27,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
