dataTime,sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm10Value24,pm25Value,pm25Value24,khaiValue,khaiGrade,so2Grade,coGrade,o3Grade,no2Grade,pm10Grade,pm25Grade,pm10Grade1h,pm25Grade1h,so2Flag,coFlag,o3Flag,no2Flag,pm10Flag,pm25Flag
2021-07-01 08:00,서울,중구,도시대기,0.004,0.5,0.018,0.023,34,36,22,24,72,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,한강대로,도로변대기,0.004,0.6,0.007,0.033,37,37,21,24,57,보통,좋음,좋음,좋음,보통,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,종로구,도시대기,0.003,0.4,0.020,0.017,28,31,19,21,64,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,보통,,,,,,
2021-07-01 08:00,서울,청계천로,도로변대기,0.004,0.5,0.018,0.024,36,37,23,25,74,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,종로,도로변대기,0.003,0.5,0.012,0.076,35,33,21,22,117,나쁨,좋음,좋음,좋음,나쁨,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,용산구,도시대기,,0.4,0.014,0.019,30,33,20,21,64,보통,,좋음,좋음,좋음,보통,보통,좋음,보통,자료이상,,,,,
2021-07-01 08:00,서울,광진구,도시대기,0.003,0.5,0.014,0.016,24,30,14,20,61,보통,좋음,좋음,좋음,좋음,좋음,보통,좋음,좋음,,,,,,
2021-07-01 08:00,서울,성동구,도시대기,0.003,0.5,0.022,0.017,24,32,17,23,69,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,보통,,,,,,
2021-07-01 08:00,서울,강변북로,도로변대기,0.003,0.7,0.008,0.027,27,28,21,21,64,보통,좋음,좋음,좋음,좋음,좋음,보통,좋음,보통,,,,,,
2021-07-01 08:00,서울,중랑구,도시대기,0.002,0.4,0.016,0.019,28,34,16,20,61,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,보통,,,,,,
2021-07-01 08:00,서울,동대문구,도시대기,0.003,0.4,0.017,0.022,34,38,21,24,72,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,홍릉로,도로변대기,0.003,0.5,0.011,0.023,34,36,16,23,69,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,성북구,도시대기,0.002,0.8,0.010,0.026,34,33,21,20,61,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,정릉로,도로변대기,0.003,0.4,0.011,0.031,35,38,25,26,77,보통,좋음,좋음,좋음,보통,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,도봉구,도시대기,,0.4,0.007,0.017,35,35,13,15,55,보통,,좋음,좋음,좋음,보통,좋음,보통,좋음,자료이상,,,,,
2021-07-01 08:00,서울,은평구,도시대기,0.003,0.4,0.020,0.014,37,29,20,18,56,보통,좋음,좋음,좋음,좋음,좋음,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,서대문구,도시대기,0.003,0.3,0.031,0.008,,23,20,20,61,보통,좋음,좋음,보통,좋음,좋음,보통,,보통,,,,,장비점검,
2021-07-01 08:00,서울,마포구,도시대기,0.002,0.4,0.025,0.019,30,33,17,22,66,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,보통,,,,,,
2021-07-01 08:00,서울,신촌로,도로변대기,0.003,0.5,0.011,0.027,34,36,20,22,66,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,강서구,도시대기,0.003,0.5,0.020,0.039,30,35,19,24,72,보통,좋음,좋음,좋음,보통,보통,보통,좋음,보통,,,,,,
2021-07-01 08:00,서울,공항대로,도로변대기,0.003,0.5,0.005,0.040,45,41,22,23,69,보통,좋음,좋음,좋음,보통,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,구로구,도시대기,0.003,0.4,0.019,0.025,26,30,13,13,50,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,,,,,,
2021-07-01 08:00,서울,영등포구,도시대기,0.002,0.5,0.018,0.027,30,35,21,25,74,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,보통,,,,,,
2021-07-01 08:00,서울,영등포로,도로변대기,0.005,0.5,0.013,0.031,32,37,23,28,57,보통,좋음,좋음,좋음,보통,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,동작구,도시대기,0.003,0.5,0.012,0.024,40,48,21,27,79,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,동작대로 중앙차로,도로변대기,0.003,0.5,0.006,0.038,38,46,26,29,85,보통,좋음,좋음,좋음,보통,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,관악구,도시대기,0.003,0.5,0.017,0.028,34,41,23,27,79,보통,좋음,좋음,좋음,좋음,보통,보통,보통,보통,,,,,,
2021-07-01 08:00,서울,강남구,도시대기,0.002,0.4,0.009,0.025,30,36,19,23,69,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,보통,,,,,,
