dataTime,sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm10Value24,pm25Value,pm25Value24,khaiValue,khaiGrade,so2Grade,coGrade,o3Grade,no2Grade,pm10Grade,pm25Grade,pm10Grade1h,pm25Grade1h,so2Flag,coFlag,o3Flag,no2Flag,pm10Flag,pm25Flag
2021-06-01 8:00,서울,중구,도시대기,0.004,0.3,0.036,0.018,19,39,12,22,66,보통,좋음,좋음,보통,좋음,보통,보통,좋음,좋음,,,,,,
2021-06-01 8:00,서울,한강대로,도로변대기,0.004,0.5,0.021,0.03,20,38,12,21,58,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,좋음,,,,,,
2021-06-01 8:00,서울,종로구,도시대기,0.003,0.4,0.031,0.018,23,38,12,20,61,보통,좋음,좋음,보통,좋음,보통,보통,좋음,좋음,,,,,,
2021-06-01 8:00,서울,청계천로,도로변대기,0.003,0.4,0.025,0.03,26,41,14,26,77,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,좋음,,,,,,
2021-06-01 8:00,서울,종로,도로변대기,0.003,0.3,0.022,0.039,20,35,11,20,65,보통,좋음,좋음,좋음,보통,보통,보통,좋음,좋음,,,,,,
2021-06-01 8:00,서울,용산구,도시대기,0.003,0.3,0.02,0.015,24,34,13,18,56,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,좋음,,,,,,
2021-06-01 8:00,서울,광진구,도시대기,0.004,0.3,0.031,0.014,28,39,18,21,64,보통,좋음,좋음,보통,좋음,보통,보통,좋음,보통,,,,,,
2021-06-01 8:00,서울,성동구,도시대기,0.003,0.4,0.037,0.018,25,37,16,21,64,보통,좋음,좋음,보통,좋음,보통,보통,좋음,보통,,,,,,
2021-06-01 8:00,서울,강변북로,도로변대기,0.003,0.3,0.036,0.012,21,34,14,19,59,보통,좋음,좋음,보통,좋음,보통,보통,좋음,좋음,,,,,,
2021-06-01 8:00,서울,중랑구,도시대기,0.003,0.3,0.024,0.025,28,38,17,21,64,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,보통,,,,,,
2021-06-01 8:00,서울,동대문구,도시대기,0.002,0.3,0.028,0.023,25,39,14,20,61,보통,좋음,좋음,좋음,좋음,보통,보통,좋음,좋음,,,,,,
2021-06-01 8:00,서울,홍릉로,도로변대기,0.003,,0.017,0.034,24,34,15,21,64,보통,좋음,,좋음,보통,보통,보통,좋음,좋음,,점검및교정,,,,
